feature_1,feature_2,interaction_score
GrLivArea_to_TotalSF,MSSubClass,90.0
BathsPerRoom,MSSubClass,90.0
BathsPerRoom,MSSubClass,89.0
RemodAge,MSSubClass,89.0
GrLivArea_to_TotalSF,MSSubClass,89.0
RemodAge,MSSubClass,88.0
Age,MSSubClass,88.0
BathsPerRoom,MSSubClass,88.0
GrLivArea_to_TotalSF,MSSubClass,88.0
TotalSF,MSSubClass,87.0
RemodAge,MSSubClass,87.0
Age,MSSubClass,87.0
TotalSF,MSSubClass,86.0
RemodAge,MSSubClass,86.0
GarageCond_ord,MSSubClass,85.0
TotalSF,MSSubClass,85.0
GrLivArea_to_TotalSF,MSSubClass,85.0
TotalSF,MSSubClass,84.0
FireplaceQu_ord,MSSubClass,84.0
BathsPerRoom,MSSubClass,84.0
